delayWeeks,completionPace,averageScore,loginFrequency,gapDepth,recencyRatio,weakSkillRatio,avgFocusScore,hasAttentionData,caughtUp,examGrade
2.718,0.677,1.076,13.355,0.672,0.633,0.091,0,0,0,7.5
0.177,4.237,22.635,7.358,0.369,0.078,0.274,0,0,1,10.5
2.467,0.168,81.046,0.554,0.926,0.337,0.952,0,0,1,11.25
4.324,1.412,6.893,8.931,0.544,0.6,0.658,59.062,1,0,8
7.487,2.087,80.816,3.141,0.425,0.103,0.939,0,0,0,9.5
7.306,2.793,42.66,5.674,0.352,0.429,0.724,0,0,0,9.25
7.782,4.39,85.464,6.798,0.778,0.147,0.459,0,0,1,12
11.747,4.61,43.255,12.935,0.906,0.097,0.497,86.555,1,0,9.25
4.126,3.619,35.532,13.402,0.062,0.949,0.741,0,0,1,10.25
4.418,1.349,20.715,0.415,0.709,0.155,0.257,3.828,1,0,4.25
6.594,2.265,33.531,8.999,0.591,0.301,0.782,0,0,1,8.25
5.778,1.838,59.836,13.747,0.299,0.411,0.411,0,0,0,11.75
2.276,3.223,79.077,7.847,0.988,0.87,0.906,59.482,1,1,12.75
3.024,0.302,60.601,0.263,0.13,0.727,0.168,0,0,0,10.5
11.628,2.407,71.681,12.015,0.811,0.266,0.825,36.502,1,0,8.25
9.029,4.455,48.935,3.535,0.616,0.636,0.275,0,0,1,11.75
7.514,2.562,91.286,5.703,0.958,0.819,0.086,0,0,1,15
2.914,0.593,83.908,5.49,0.567,0.866,0.41,0,0,1,13.5
3.454,4.832,96.051,7.948,0.531,0.196,0.086,87.765,1,1,14.75
7.937,1.235,30.455,2.905,0.225,0.895,0.988,0,0,0,7.5
2.102,2.885,46.082,8.301,0.354,0.489,0.476,0,0,1,11.25
8.206,4.052,61.805,1.911,0.331,0.174,0.874,9.971,1,0,10
0.351,2.495,7,11.087,0.476,0.236,0.62,56.029,1,0,8
2.048,0.011,82.582,11.033,0.523,0.081,0.272,0,0,0,13
1.574,1.43,62.314,10.223,0.733,0.964,0.494,0,0,1,13.75
10.253,1.815,19.52,0.836,0.507,0.622,0.278,0,0,1,8.5
11.733,1.213,79.549,0.981,0.3,0.516,0.635,0,0,1,11.75
9.743,4.97,80.353,12.028,0.601,0.905,0.375,0,0,1,12.75
2.402,3.696,20.986,9.473,0.221,0.779,0.298,2.076,1,0,7.75
11.635,1.717,33.023,12.574,0.744,0.226,0.332,0,0,0,7.25
8.424,4.011,83.767,9.736,0.719,0.245,0.26,0,0,1,11.75
1.892,2.812,82.207,4.719,0.908,0.947,0.715,0,0,1,12.75
10.646,2.001,83.13,0.892,0.04,0.616,0.386,0,0,0,13
2.402,0.382,3.436,2.717,0.243,0.938,0.9,0,0,0,6.25
6.067,1.144,26.269,9.637,0.473,0.481,0.974,53.532,1,0,8.5
7.821,0.584,14.567,7.697,0.976,0.326,0.233,0,0,0,5.5
4.077,2.616,44.781,0.984,0.495,0.743,0.133,0,0,0,10
5.207,4.603,87.79,8.82,0.417,0.634,0.219,91.705,1,1,16
6.182,3.065,34.266,9.193,0.571,0.254,0.49,0,0,0,7.75
1.626,2.479,33.724,3.345,0.365,0.32,0.243,0,0,1,7.5
9.89,3.31,45.754,1.235,0.563,0.126,0.186,0,0,1,7.5
4.878,3.846,57.167,6.919,0.825,0.622,0.389,0,0,0,12
11.206,3.847,80.112,8.984,0.187,0.184,0.122,0,0,1,13.25
6.575,1.45,60.526,12.232,0.315,0.416,0.995,0,0,1,10.75
6.329,4.595,23.402,1.493,0.054,0.426,0.281,83.553,1,1,9.75
11.208,1.685,60.944,4.643,0.483,0.795,0.732,84.926,1,0,9.75
5.916,1.074,77.583,7.749,0.602,0.928,0.634,73.93,1,1,11.75
0.247,3.863,6.317,0.619,0.077,0.288,0.49,45.116,1,0,8
5.756,2.359,37.592,1.195,0.989,0.575,0.084,0,0,0,7.5
2.284,3.642,71.664,5.363,0.21,0.405,0.755,11.663,1,0,11.25
4.854,0.335,10.156,13.537,0.583,0.999,0.462,0,0,0,7.25
9.562,3.35,17.968,12.806,0.939,0.608,0.429,27.754,1,0,6
7.966,4.635,38.001,13.154,0.178,0.906,0.361,39.887,1,1,10.5
11.687,3.82,45.293,0.612,0.151,0.094,0.8,0,0,0,6.25
8.962,3.695,46.942,9.139,0.731,0.881,0.173,0,0,1,11
11.624,3.919,56.297,2.656,0.451,0.158,0.884,0,0,1,9
3.262,0.87,72.257,7.841,0.099,0.158,0.538,0,0,0,13
6.406,1.513,46.581,6.329,0.251,0.281,0.295,0,0,0,11
5.647,0.36,16.784,12.972,0.428,0.537,0.661,93.774,1,0,8.5
5.318,0.247,29.72,1.649,0.922,0.779,0.762,0,0,0,6.25
6.864,3.747,18.478,13.206,0.934,0.047,0.344,87.476,1,0,6.75
9.729,4.774,76.073,2.589,0.304,0.321,0.209,26.709,1,1,10.5
1.561,0.938,19.736,3.331,0.967,0.259,0.321,72.704,1,0,8.5
8.363,0.658,89.154,7.108,0.153,0.793,0.653,0,0,0,11.5
11.931,3.47,37.169,10.481,0.17,0.314,0.118,83.425,1,0,9
5.509,1.733,13.194,8.712,0.602,0.711,0.712,0,0,0,6.25
8.309,0.461,87.526,8.459,0.772,0.595,0.539,0,0,1,11
8.759,0.565,98.758,12.027,0.514,0.003,0.897,85.694,1,0,10.75
4.968,0.772,66.477,5.473,0.337,0.183,0.918,0,0,1,7.75
4.196,1.499,75.71,13.097,0.502,0.922,0.176,0,0,1,15.5
2.825,4.058,89.012,7.068,0.557,0.293,0.095,0,0,1,16
8.819,3.074,51.491,9.5,0.139,0.66,0.361,63.768,1,0,9.75
5.451,0.715,34.949,11.339,0.117,0.639,0.028,11.086,1,1,7.25
2.883,1.254,25.39,7.74,0.55,0.987,0.67,0,0,1,8.5
5.629,0.384,63.048,13.283,0.172,0.049,0.919,0,0,0,8.25
6.619,3.342,48.669,11.011,0.068,0.832,0.436,13.658,1,1,12.5
8.612,3.152,41.916,0.369,0.282,0.811,0.242,0,0,1,11
1.98,4.466,50.345,11.407,0.759,0.244,0.871,0,0,1,8.5
7.653,4.497,26.899,7.799,0.32,0.627,0.07,27.804,1,1,7.75
2.28,4.158,15.843,2.401,0.747,0.444,0.319,5.653,1,0,7.75
1.674,3.069,80.752,1.871,0.792,0.047,0.418,0,0,0,12.25
0.781,2.418,41.044,10.137,0.473,0.986,0.602,79.351,1,1,13
1.808,4.411,90.362,0.52,0.399,0.946,0.438,0,0,1,15.5
6.139,1.706,89.944,3.856,0.264,0.812,0.538,18.77,1,1,12.25
7.412,4.616,41.622,2.93,0.365,0.319,0.75,0,0,1,9
3.059,0.219,57.333,12.622,0.527,0.664,0.821,0,0,1,11
4.662,1.343,86.34,1.608,0.392,0.726,0.05,0,0,1,14.5
5.959,0.575,39.856,4.544,0.935,0.993,0.262,0,0,1,7.75
8.713,3.225,1.8,13.497,0.177,0.06,0.171,0,0,0,7.5
3.002,0.241,1.615,13.881,0.74,0.878,0.942,0,0,0,7.25
8.05,0.919,78.37,0.957,0.555,0.553,0.306,0,0,1,10.75
2.037,3.703,82.352,9.378,0.681,0.526,0.625,0,0,1,13.75
2.485,0.619,31.691,2.459,0.234,0.107,0.9,39.736,1,0,7.5
10.189,4.356,11.405,13.173,0.946,0.846,0.195,0,0,1,7.5
8.001,2.548,27.739,9.356,0.387,0.448,0.136,0,0,0,7.5
1.416,4.87,32.798,3.38,0.579,0.05,0.667,0,0,0,7.25
8.659,3.27,97.666,4.987,0.359,0.495,0.135,82.257,1,1,13.5
3.505,1.475,56.77,10.025,0.224,0.225,0.334,26.986,1,1,9.5
2.176,1.02,75.392,4.217,0.988,0.179,0.44,83.368,1,1,12
10.806,0.154,64.494,8.546,0.691,0.987,0.904,0,0,1,9
4.064,1.395,22.949,1.147,0.981,0.477,0.135,0,0,0,7
10.043,3.034,18.38,11.534,0.878,0.481,0.56,43.295,1,0,5.5
1.023,2.99,56.108,0.316,0.683,0.316,0.125,0,0,1,9.75
1.546,1.338,77.395,0.407,0.648,0.933,0.953,56.793,1,0,12.75
6.611,0.061,24.584,5.634,0.748,0.96,0.048,62.725,1,0,7.25
1.232,2.767,0.552,9.858,0.461,0.483,0.962,0,0,1,7
2.275,4.395,80.158,5.543,0.682,0.551,0.318,0,0,1,14
11.785,2.416,53.782,10.263,0.005,0.092,0.027,0,0,0,11
10.736,1.924,22.808,10.836,0.014,0.439,0.291,0,0,1,7.5
7.573,2.368,26.283,1.884,0.813,0.527,0.693,99.109,1,0,9.25
8.949,0.328,92.136,4.185,0.153,0.763,0.555,32.553,1,1,14
9.349,2.589,63.227,8.52,0.17,0.47,0.315,0,0,0,12
0.026,1.139,76.498,1.95,0.93,0.824,0.381,0,0,1,14.5
11.794,0.179,33.172,2.584,0.611,0.04,0.884,55.57,1,0,5
6.476,4.375,69.493,8.879,0.477,0.4,0.072,0,0,1,13.5
11.674,4.209,54.795,12.69,0.728,0.845,0.066,0,0,1,12.5
8.312,2.327,85.515,6.332,0.189,0.436,0.192,0,0,1,11.5
8.184,3.431,90.4,6.664,0.287,0.208,0.059,0,0,1,12.75
10.276,3.053,36.906,6.654,0.151,0.106,0.632,11.857,1,0,5.5
2.739,0.764,72.638,0.491,0.86,0.382,0.869,9.032,1,0,9.75
11.079,1.152,87.028,12.459,0.23,0.043,0.482,0,0,0,13
3.335,2.989,53.603,11.232,0.984,0.318,0.538,4.191,1,1,7.5
9.513,3.01,94.322,7.855,0.175,0.816,0.575,0,0,1,13.25
2.388,1.911,49.492,9.018,0.205,0.309,0.148,31.208,1,1,10
9.323,4.452,46.769,8.824,0.2,0.583,0.218,0,0,0,12.25
7.335,3,96.724,9.581,0.007,0.932,0.867,56.68,1,1,14.75
6.507,0.999,91.269,5.511,0.963,0.89,0.791,0,0,1,11.25
2.329,4.013,79.249,4.054,0.826,0.298,0.612,0,0,1,13.25
10.28,3.198,69.194,9.326,0.204,0.649,0.686,0,0,1,10.5
8.323,3.262,38.914,9.768,0.779,0.064,0.36,98.936,1,0,7.75
8.367,4.565,53.196,4.907,0.576,0.035,0.675,69.746,1,1,11.25
8.096,0.637,55.87,11.297,0.414,0.108,0.824,0,0,0,8.25
8.407,0.431,7.479,9.663,0.596,0.397,0.016,80.223,1,0,7.25
3.846,1.266,32.728,2.522,0.836,0.511,0.128,0,0,1,8
4.17,0.43,40.127,2.132,0.063,0.417,0.792,8.433,1,1,9
1.001,0.154,29.323,11.894,0.747,0.595,0.322,0,0,1,9.25
10.047,1.852,69.428,4.381,0.987,0.677,0.905,0,0,0,11.75
0.351,3.062,96.356,0.766,0.603,0.149,0.963,69.227,1,1,12.5
10.382,2.418,94.484,1.701,0.402,0.263,0.794,0,0,0,12.75
1.201,3.843,84.839,9.001,0.909,0.118,0.145,0,0,1,14
5.788,0.39,97.853,7.697,0.717,0.283,0.007,86.428,1,1,12.75
0.869,4.298,66.383,5.928,0.427,0.302,0.417,58.277,1,1,12.5
1.519,1.185,29.479,2.593,0.388,0.765,0.175,37.809,1,0,8.5
1.187,4.104,19.065,6.711,0.252,0.271,0.586,0,0,0,9.5
10.607,0.305,23.823,11.354,0.71,0.717,0.21,0,0,0,8.5
10.386,1.449,18.263,9.898,0.526,0.063,0.31,0,0,0,6.75
7.195,4.767,37.112,6.515,0.503,0.562,0.839,79.687,1,1,8.5
8.862,3.75,98.384,8.428,0.161,0.231,0.805,35.819,1,1,11.75
5.739,0.384,5.241,10.05,0.404,0.659,0.054,68.389,1,0,7.5
6.095,1.211,91.255,7.851,0.118,0.742,0.32,43.539,1,1,12.25
7.778,0.277,90.642,9.937,0.377,0.229,0.965,12.89,1,0,10
8.029,1.236,70.45,6.285,0.525,0.175,0.818,71.641,1,1,12
1.635,1.416,52.986,7.275,0.185,0.081,0.457,0,0,1,10
1.534,4.177,59.724,2.298,0.384,0.313,0.292,0,0,1,12.25
11.848,1.709,29.92,0.11,0.695,0.893,0.329,36.803,1,0,6.25
3.323,1.945,7.812,7.713,0.759,0.371,0.922,0,0,0,5.5
8.544,1.476,78.889,8.108,0.907,0.897,0.789,0,0,0,11
4.262,1.81,5.187,13.951,0.264,0.406,0.195,0,0,0,6.25
7.876,1.565,63.528,8.567,0.865,0.68,0.75,0,0,0,11.5
3.11,4.159,75.11,8.369,0.03,0.245,0.686,0,0,1,13
5.603,2.47,87.397,5.769,0.398,0.515,0.283,0,0,1,12.25
6.299,4.165,23.778,9.533,0.803,0.084,0.489,98.098,1,0,7.5
2.772,3.396,90.321,11.736,0.533,0.77,0.061,10.131,1,1,13.5
8.638,0.036,49.577,7.435,0.243,0.185,0.194,0,0,0,8.25
11.849,0.196,19.398,9.116,0.158,0.814,0.876,81.731,1,0,5.75
10.032,4.676,10.878,4.449,0.752,0.17,0.422,0,0,0,5.75
8.033,0.911,87.808,1.549,0.335,0.961,0.545,51.833,1,0,13.75
1.686,0.797,63.519,4.528,0.79,0.818,0.241,0,0,1,13.25
11.739,4.65,24.742,13.913,0.766,0.232,0.294,19.568,1,0,5.75
11.586,0.605,34.597,11.751,0.782,0.922,0.532,11.482,1,0,8
6.636,1.736,64.96,1,0.577,0.128,0.328,0,0,0,9.25
10.303,1.243,97.008,1.095,0.604,0.089,0.027,5.216,1,1,10.5
11.997,3.674,61.392,9.287,0.779,0.198,0.047,23.247,1,0,11
11.665,1.692,21.587,9.402,0.516,0.716,0.521,0,0,0,8.75
1.84,3.084,99.645,5.498,0.115,0.762,0.137,3.06,1,1,13.5
2.597,1.639,50.814,10.056,0.544,0.734,0.446,0,0,1,12.75
9.14,2.763,36.858,9.845,0.637,0.104,0.876,29.762,1,0,8.5
6.35,3.934,97.779,4.679,0.331,0.676,0.507,0,0,1,16.25
3.582,4.741,61.769,10.385,0.603,0.547,0.012,0,0,1,12.25
8.14,1.646,94.528,6.106,0.225,0.758,0.859,88.828,1,1,13
4.28,3.421,24.102,13.704,0.991,0.442,0.622,0,0,1,7
7.062,4.144,0.109,0.903,0.622,0.425,0.603,0,0,0,4.75
1.41,1.002,34.416,6.751,0.871,0.001,0.747,0,0,0,5.75
7.053,2.885,81.271,0.141,0.867,0.331,0.071,0,0,0,13
9.816,1.197,43.234,12.538,0.63,0.91,0.459,47.014,1,1,10
1.604,0.659,7.687,7.212,0.746,0.37,0.957,0,0,0,3.5
1.023,1.514,36.869,0.987,0.525,0.507,0.847,0,0,0,7.75
11.28,4.06,79.435,11.14,0.738,0.672,0.503,25.316,1,1,13
9.103,3.834,56.626,11.168,0.631,0.462,0.39,0,0,0,12
7.373,2.026,72.666,4.754,0.386,0.384,0.189,0,0,1,11.5
1.774,4.768,52.506,6.662,0.699,0.005,0.772,34.94,1,1,10.25
7.543,4.315,66.398,3.511,0.589,0.318,0.291,0,0,1,11.5
11.428,0.277,30.404,5.446,0.824,0.807,0.013,0,0,0,7.75
5.492,4.566,25.077,13.525,0.178,0.66,0.465,0,0,1,9.75
3.688,3.813,19.015,4.261,0.795,0.026,0.184,0,0,0,6
4.808,0.944,7.107,0.61,0.737,0.786,0.969,0,0,0,5.75
11.437,2.619,93.66,11.977,0.834,0.477,0.88,0,0,0,12.5
4.068,4.995,70.176,0.725,0.286,0.624,0.912,0,0,1,11
11.102,0.636,74.141,13.724,0.487,0.072,0.764,0,0,0,10.25
8.135,1.918,39.379,5.201,0.106,0.613,0.588,0,0,0,8.5
2.6,3.227,52.653,13.151,0.425,0.267,0.805,91.954,1,0,10.25
9.404,2.41,54.429,4.383,0.405,0.35,0.319,0,0,1,11.25
9.187,2.447,53.232,8.473,0.611,0.162,0.27,82.37,1,1,11.5
5.078,2.265,75.268,13.794,0.641,0.416,0.344,0,0,1,12.25
6.726,1.993,40.82,4.005,0.783,0.111,0.303,0,0,0,6.75
10.798,1.231,96.595,13.811,0.722,0.948,0.322,32.141,1,1,12.25
4.806,4.099,4.064,2.24,0.486,0.314,0.659,0,0,1,6.5
7.587,1.567,95.224,2.354,0.47,0.052,0.053,0,0,1,13.75
11.639,1.047,80.798,12.103,0.071,0.65,0.998,0,0,0,12
6.484,4.294,57.246,5.231,0.456,0.641,0.265,0,0,1,10.25
4.353,1.91,34.108,10.747,0.3,0.77,0.249,0,0,1,10
2.488,1.519,14.515,0.655,0.127,0.103,0.107,0,0,0,7.75
4.978,4.178,75.053,2.375,0.54,0.256,0.122,0,0,1,13
8.535,0.411,59.628,3.476,0.058,0.906,0.849,0,0,0,11.5
0.905,4.434,22.952,5.84,0.682,0.796,0.353,0,0,1,10.75
3.104,3.084,79.913,8.516,0.374,0.629,0.605,32.702,1,1,12.75
6.166,2.405,7.093,10.052,0.349,0.025,0.721,0,0,0,4
8.634,0.345,7.874,13.058,0.938,0.446,0.913,28.197,1,0,3.25
4.695,2.688,87.036,9.886,0.334,0.058,0.947,44.034,1,0,13.5
0.321,3.443,84.637,8.585,0.942,0.826,0.637,63.273,1,1,12.5
5.146,3.636,9.982,8.717,0.261,0.165,0.585,0,0,0,6.75
4.652,0.667,99.038,10.35,0.745,0.664,0.409,0,0,0,14.25
10.62,0.362,47.848,11.518,0.665,0.837,0.732,0,0,1,9.75
5.471,2.101,21.956,13.642,0.18,0.514,0.921,32.88,1,0,8
1.145,1.515,96.523,6.564,0.105,0.476,0.413,0,0,1,15.75
7.727,3.318,26.916,5.024,0.894,0.15,0.663,0,0,0,6.25
3.441,0.653,65.214,7.65,0.574,0.542,0.555,17.442,1,1,9.25
4.095,4.749,94.98,8.246,0.48,0.281,0.63,39.834,1,1,15
2.898,0.91,60.811,9.86,0.446,0.503,0.396,50.203,1,0,11
0.505,1.513,34.094,6.065,0.056,0.478,0.678,0,0,1,10
4.463,0.135,90.175,6.812,0.947,0.94,0.38,76.995,1,1,14.25
11.377,2.994,22.165,10.527,0.418,0.715,0.063,33.662,1,1,6.5
3.101,4.182,18.456,6.318,0.009,0.774,0.882,0,0,1,8.25
7.031,4.877,89.559,4.108,0.308,0.562,0.3,0,0,1,15.75
6.236,4.072,95.099,4.415,0.797,0.343,0.337,59.542,1,1,12.25
4.52,4.549,66.162,1.298,0.572,0.856,0.398,0,0,1,13
1.873,3.422,66.99,1.052,0.203,0.206,0.93,31.957,1,1,11.25
4.599,0.94,34.89,8.42,0.297,0.243,0.536,89.554,1,1,8
9.402,2.415,59.65,7.162,0.657,0.903,0.608,82.005,1,1,11.75
0.416,2.771,87.86,3.374,0.476,0.171,0.689,0,0,1,11.75
3.399,1.105,91.164,9.295,0.105,0.909,0.364,0,0,1,16
10.949,4.82,56.544,2.035,0.361,0.682,0.689,0,0,1,9.25
3.603,0.358,11.805,4.788,0.699,0.214,0.905,0,0,0,5
2.472,0.706,4.25,9.062,0.918,0.754,0.143,0,0,1,8.25
3.675,2.236,53.342,5.268,0.444,0.926,0.497,75.412,1,1,11.25
0.411,0.45,56.635,0.521,0.203,0.161,0.664,93.088,1,1,11.75
8.508,1.558,95.984,8.471,0.581,0.486,0.571,0,0,1,12.25
6.602,3.848,93.608,0.598,0.057,0.89,0.715,0,0,1,15
0.154,0.724,63.207,8.417,0.477,0.215,0.241,0,0,0,11.75
1.757,2.702,73.863,12.352,0.727,0.303,0.16,0,0,0,11.75
3.116,1.308,54.822,5.024,0.957,0.675,0.893,68.141,1,0,10
1.79,2.276,54.909,12.812,0.722,0.392,0.479,0,0,1,9.5
4.601,0.512,20.649,5.364,0.92,0.09,0.436,0,0,0,5.5
8.491,2.497,90.064,8.828,0.367,0.903,0.957,0,0,0,13
6.979,1.457,84.055,4.711,0.246,0.319,0.937,29.169,1,0,9.75
9.279,0.438,29.518,0.682,0.133,0.812,0.201,0,0,1,6.5
5.81,1.766,32.752,11.762,0.275,0.28,0.676,0,0,0,9
0.4,1.39,9.558,9.915,0.864,0.831,0.209,0,0,1,9.25
11.667,1.163,38.959,4.945,0.024,0.579,0.686,0,0,0,6.25
9.255,1.807,56.187,4.377,0.107,0.147,0.566,31.947,1,0,10.5
9.495,0.836,29.719,6.612,0.153,0.813,0.567,0,0,1,7.5
8.373,2.742,90.602,12.149,0.681,0.145,0.805,0,0,1,11.25
6.007,3.199,89.5,13.127,0.886,0.973,0.281,61.509,1,1,13.5
0.692,4.548,45.175,2.964,0.283,0.856,0.191,0,0,1,12.25
6.059,0.355,74.852,12.459,0.32,0.071,0.136,0,0,1,11.75
4.315,3.28,27.316,13.607,0.842,0.275,0.403,16.036,1,0,8
6.174,2.855,47.604,10.8,0.097,0.374,0.505,61.442,1,1,11.75
9.749,3.361,48.478,13.793,0.493,0.585,0.088,92.729,1,1,11.5
9.659,2.67,90.861,10.494,0.212,0.191,0.194,0,0,1,13
9.873,3.534,47.796,10.222,0.819,0.426,0.649,0,0,0,9.75
1.154,3.655,98.721,9.75,0.751,0.675,0.112,0,0,1,15
11.181,2.895,41.779,6.655,0.954,0.318,0.261,0,0,0,8.5
2.235,1.294,26.105,5.038,0.389,0.985,0.573,0,0,0,9.5
6.182,3.36,97.584,12.379,0.892,0.083,0.099,53.607,1,1,13.5
6.968,2.096,16.733,12.427,0.204,0.537,0.01,86.527,1,0,9.5
11.82,1.145,25.157,11.104,0.462,0.494,0.115,57.785,1,0,6.5
11.97,4.983,8.342,10.114,0.978,0.254,0.865,0,0,0,4.5
2.153,1.476,10.069,4.949,0.627,0.239,0.984,0,0,0,4.5
4.285,2.432,19.658,6.765,0.432,0.739,0.619,0,0,1,9.75
5.685,2.61,75.751,10.147,0.736,0.252,0.699,0,0,1,11
6.462,3.937,39.231,2.545,0.667,0.446,0.056,0,0,1,10.25
4.281,3.443,56.72,6.003,0.122,0.952,0.843,16.811,1,1,10.5
1.969,3.324,38.798,2.626,0.483,0.502,0.499,59.984,1,1,8.75
3.651,1.987,38.613,5.698,0.217,0.636,0.551,38.798,1,1,9.5
1.726,3.915,77.878,8.937,0.071,0.905,0.563,82.89,1,1,15.5
